iter	Logloss
0	0.6244092163
1	0.5682371521
2	0.5201140503
3	0.484399176
4	0.4523468506
5	0.4256957947
6	0.4040093964
7	0.3826382385
8	0.3656567627
9	0.351738446
10	0.3384637451
11	0.3276684631
12	0.3183062378
13	0.3108759766
14	0.3041553284
15	0.2975287598
16	0.2926855774
17	0.2881747833
18	0.2842562836
19	0.2807247284
20	0.2772212769
21	0.2737337524
22	0.2716222412
23	0.2689406464
24	0.2668167328
25	0.2645799377
26	0.2623804565
27	0.2603009827
28	0.2583841461
29	0.2566499908
30	0.2552317871
31	0.2535283539
32	0.2526141449
33	0.2513473358
34	0.2500739716
35	0.2489689423
36	0.2478666748
37	0.2471220703
38	0.2458895203
39	0.2451005737
40	0.2443414093
41	0.243541217
42	0.2428025208
43	0.2420105621
44	0.2413635468
45	0.240769751
46	0.240144751
47	0.2397049347
48	0.2390785645
49	0.2385434479
50	0.2379742828
51	0.2373715149
52	0.2368124207
53	0.236430603
54	0.2359622101
55	0.235413974
56	0.234793866
57	0.2340074768
58	0.2333500092
59	0.2328056396
60	0.2324622955
61	0.2321159363
62	0.2317535675
63	0.2311761322
64	0.230654245
65	0.2302337463
66	0.2298018585
67	0.2294139648
68	0.2290039612
69	0.2286317139
70	0.2283070984
71	0.2279661499
72	0.2276029785
73	0.2271808044
74	0.2267895386
75	0.2263980713
76	0.2261660431
77	0.2258123291
78	0.2255726868
79	0.2254163574
80	0.2251498566
81	0.2247403442
82	0.2243383453
83	0.2240601013
84	0.2238010773
85	0.223619519
86	0.2232590515
87	0.2229677399
88	0.2227154633
89	0.2224262939
90	0.2220886597
91	0.2216972473
92	0.2214724579
93	0.221181012
94	0.2208681458
95	0.2206249908
96	0.2204145508
97	0.2202877533
98	0.2201210114
99	0.2200062653
100	0.2198118958
101	0.2196703552
102	0.2194321533
103	0.2192048767
104	0.2189801239
105	0.2187182434
106	0.2184817719
107	0.2183003998
108	0.2181407104
109	0.2179821716
110	0.2177382599
111	0.2175390778
112	0.217321843
113	0.2171230087
114	0.2169705688
115	0.2167875702
116	0.2166576294
117	0.2164969254
118	0.2162229324
119	0.2161074036
120	0.2159071259
121	0.2157597473
122	0.215548613
123	0.215328006
124	0.2151177765
125	0.2148695801
126	0.2147172119
127	0.2144501251
128	0.2142165619
129	0.214018869
130	0.2138713608
131	0.2137233749
132	0.2135821503
133	0.2134429596
134	0.2133362274
135	0.2132293625
136	0.2130097748
137	0.2127986298
138	0.2126799988
139	0.2125633118
140	0.2123674042
141	0.2122016907
142	0.2121047943
143	0.2119287659
144	0.2117264893
145	0.2115880768
146	0.2114396576
147	0.2113448257
148	0.2111455353
149	0.2109760483
150	0.2107948944
151	0.2106440063
152	0.2105306671
153	0.2104252335
154	0.2102772888
155	0.2101888596
156	0.210048819
157	0.2099206665
158	0.2097766708
159	0.2096527527
160	0.2095489426
161	0.2094350922
162	0.2093248657
163	0.2092165466
164	0.2090685043
165	0.2089789139
166	0.2088429214
167	0.208706015
168	0.2085696884
169	0.2084686707
170	0.2083601059
171	0.208222641
172	0.2081238388
173	0.2079833771
174	0.2078947784
175	0.2077029907
176	0.2075459213
177	0.2073824753
178	0.2073021469
179	0.2072414383
180	0.2071392578
181	0.2070615921
182	0.2069273712
183	0.206797612
184	0.2067038162
185	0.2065883698
186	0.2064699646
187	0.206378714
188	0.206293013
189	0.2062363495
190	0.2060870483
191	0.2059690048
192	0.2058705078
193	0.2057902893
194	0.2056529205
195	0.2055811569
196	0.2054293274
197	0.2053541977
198	0.2052028168
199	0.2051265594
200	0.2050554611
201	0.2049710449
202	0.204897937
203	0.204813829
204	0.2047327469
205	0.2046144333
206	0.2045107925
207	0.2043744843
208	0.2042919662
209	0.2042088837
210	0.2040535461
211	0.2039445648
212	0.203817453
213	0.2037178299
214	0.2036292313
215	0.2035485657
216	0.2034318604
217	0.203364679
218	0.2033038986
219	0.2032055313
220	0.2031183319
221	0.2030160278
222	0.202914769
223	0.2028655289
224	0.202771698
225	0.2026587326
226	0.2026072281
227	0.2025249924
228	0.2024577103
229	0.202353038
230	0.2022499359
231	0.2021672974
232	0.2021045609
233	0.2020301041
234	0.2019718765
235	0.2018893631
236	0.2018281631
237	0.2017168991
238	0.2016378403
239	0.2015315613
240	0.2014580627
241	0.2013946335
242	0.201348111
243	0.2012854889
244	0.2012448364
245	0.2011805908
246	0.2010896545
247	0.2009941254
248	0.2009447891
249	0.200865239
250	0.2007611115
251	0.2006385269
252	0.2005059097
253	0.2004499023
254	0.2003987488
255	0.2003393417
256	0.2002287323
257	0.2001393646
258	0.2000429642
259	0.1999715927
260	0.1998758881
261	0.1998321976
262	0.199753334
263	0.1996654648
264	0.1996514145
265	0.1995975235
266	0.1995903931
267	0.1995325821
268	0.1994689728
269	0.1994035828
270	0.1993375687
271	0.1993172989
272	0.1992667465
273	0.199232579
274	0.1991398956
275	0.1990913742
276	0.1990363358
277	0.1989741837
278	0.1988476242
279	0.198748172
280	0.1986601913
281	0.1985994125
282	0.1985063278
283	0.1983977615
284	0.1982886703
285	0.1982580597
286	0.1981926773
287	0.1981207245
288	0.1980317993
289	0.1979483032
290	0.1979399063
291	0.1978783401
292	0.1978376175
293	0.1977826981
294	0.1977223953
295	0.1976273392
296	0.1975705704
297	0.1974800247
298	0.1974742661
299	0.197418988
300	0.1973839127
301	0.197315239
302	0.1972552811
303	0.1971355225
304	0.1970619568
305	0.1970088898
306	0.1970026733
307	0.1969140717
308	0.1968339081
309	0.1968025421
310	0.196736409
311	0.196677594
312	0.1966419815
313	0.196574324
314	0.1965306854
315	0.1964655807
316	0.1963948151
317	0.1963406448
318	0.1962782837
319	0.19623564
320	0.1961098206
321	0.1960286102
322	0.1959877335
323	0.19587043
324	0.195790593
325	0.1957625763
326	0.1957570175
327	0.1956915833
328	0.1956256088
329	0.1955945221
330	0.19550811
331	0.1954876663
332	0.1954346146
333	0.1954093552
334	0.1953707626
335	0.1953044571
336	0.1952588165
337	0.195184642
338	0.1951435257
339	0.195052861
340	0.1950011551
341	0.1949804367
342	0.1948668396
343	0.1947785202
344	0.1947224854
345	0.1946701294
346	0.194626355
347	0.1945478851
348	0.1944701065
349	0.1944201736
350	0.1943209274
351	0.1942894836
352	0.1941999435
353	0.1941417068
354	0.1940837051
355	0.1939931961
356	0.1939326523
357	0.1938959274
358	0.193857756
359	0.1937815689
360	0.1937244675
361	0.1936739105
362	0.1935802261
363	0.1935240707
364	0.1934621567
365	0.19345289
366	0.1933762863
367	0.1933350571
368	0.1932828537
369	0.1932412415
370	0.1931895599
371	0.1931348022
372	0.1931146652
373	0.1930756393
374	0.1929895798
375	0.1929430359
376	0.1928909286
377	0.192847261
378	0.1927845413
379	0.1927125931
380	0.1926597687
381	0.1926282776
382	0.1925774323
383	0.1925161316
384	0.1924739136
385	0.1924375717
386	0.1923751053
387	0.1923056671
388	0.1922432999
389	0.1921806137
390	0.192091272
391	0.1920609756
392	0.1920360641
393	0.1920049133
394	0.1919367004
395	0.191866803
396	0.1918327789
397	0.1917662659
398	0.1917082047
399	0.191640744
400	0.1915938034
401	0.1915837189
402	0.1915802505
403	0.1915355911
404	0.1914953323
405	0.191441391
406	0.1913396973
407	0.1913080231
408	0.1912532578
409	0.1911816467
410	0.1911167328
411	0.1910982544
412	0.191060643
413	0.1909956589
414	0.1909395584
415	0.1909140045
416	0.1908756165
417	0.1908345856
418	0.1907979828
419	0.190781723
420	0.1907457275
421	0.1907319641
422	0.1906931015
423	0.1906516922
424	0.1905543701
425	0.1905311859
426	0.1905205917
427	0.1904741852
428	0.1904595673
429	0.1903838455
430	0.1903123199
431	0.1902476746
432	0.1902257034
433	0.1901849106
434	0.1901478592
435	0.1900916763
436	0.1900141068
437	0.1899456055
438	0.1898869537
439	0.1898439148
440	0.1897887985
441	0.1897177994
442	0.1896166245
443	0.1895871033
444	0.1895714737
445	0.1895286774
446	0.1894971558
447	0.1894420135
448	0.1893826767
449	0.1892891724
450	0.1892286865
451	0.1891560135
452	0.1890965118
453	0.1890666336
454	0.1889740311
455	0.188919545
456	0.1888615936
457	0.1888075928
458	0.1887682068
459	0.1887238983
460	0.1886881287
461	0.1886269135
462	0.1885793106
463	0.1885435669
464	0.1885229767
465	0.1884877502
466	0.1884598373
467	0.1884373566
468	0.1884129425
469	0.1883675629
470	0.1883111328
471	0.1882593079
472	0.1881779343
473	0.1881488998
474	0.1880705368
475	0.1880024673
476	0.1879553131
477	0.1879228363
478	0.1879042007
479	0.187901593
480	0.187865976
481	0.1878134827
482	0.1877840775
483	0.1877650803
484	0.1877625
485	0.1877413483
486	0.1876988235
487	0.1876575348
488	0.1876081284
489	0.1876010498
490	0.1875657715
491	0.1874955917
492	0.1874678696
493	0.1874273865
494	0.1874040894
495	0.1873445297
496	0.1872946289
497	0.1872375641
498	0.1871765701
499	0.1871738297
500	0.1871536285
501	0.1870952377
502	0.1870401505
503	0.1869973633
504	0.1869745895
505	0.1869318619
506	0.1869055756
507	0.1868272095
508	0.1867534363
509	0.1866788681
510	0.1866437943
511	0.1866069687
512	0.1865632889
513	0.1865113708
514	0.186462262
515	0.1864211838
516	0.1863703278
517	0.1863208115
518	0.1862887238
519	0.1862460617
520	0.1862008942
521	0.1861562241
522	0.1860985504
523	0.1860684753
524	0.1860572342
525	0.1859965439
526	0.1859442703
527	0.1859152115
528	0.1858725296
529	0.1857945343
530	0.1857459961
531	0.1856747299
532	0.1856499725
533	0.1856065781
534	0.1855464233
535	0.1854872086
536	0.1854632294
