iter	Passed	Remaining
0	24	24671
1	53	26811
2	79	26377
3	100	24909
4	123	24665
5	145	24076
6	166	23592
7	196	24343
8	223	24577
9	251	24891
10	277	24945
11	300	24734
12	327	24834
13	455	32065
14	531	34917
15	572	35224
16	600	34729
17	626	34171
18	658	33979
19	697	34194
20	812	37871
21	858	38177
22	897	38108
23	925	37619
24	947	36946
25	974	36497
26	1005	36220
27	1076	37380
28	1225	41017
29	1275	41236
30	1303	40733
31	1328	40189
32	1352	39619
33	1376	39103
34	1498	41313
35	1555	41656
36	1585	41266
37	1606	40667
38	1627	40095
39	1681	40358
40	1815	42456
41	1836	41885
42	1882	41906
43	1904	41378
44	1925	40857
45	1945	40358
46	1968	39921
47	1993	39538
48	2018	39181
49	2040	38777
50	2069	38504
51	2096	38218
52	2117	37831
53	2139	37484
54	2162	37151
55	2196	37020
56	2336	38659
57	2408	39123
58	2436	38866
59	2457	38495
60	2485	38259
61	2510	37983
62	2539	37763
63	2571	37613
64	2604	37467
65	2630	37228
66	2653	36948
67	2679	36729
68	2703	36473
69	2727	36233
70	2751	35999
71	2772	35733
72	2956	37548
73	3020	37792
74	3052	37649
75	3078	37429
76	3114	37337
77	3138	37092
78	3204	37358
79	3276	37675
80	3321	37686
81	3354	37555
82	3383	37386
83	3511	38296
84	3592	38670
85	3635	38642
86	3662	38431
87	3686	38208
88	3712	37998
89	3739	37813
90	3762	37582
91	3791	37423
92	3824	37300
93	3851	37126
94	3873	36904
95	3895	36678
96	3919	36484
97	3938	36252
98	3959	36035
99	3985	35870
100	4090	36409
101	4187	36867
102	4224	36788
103	4254	36655
104	4277	36460
105	4301	36276
106	4323	36080
107	4351	35944
108	4385	35851
109	4409	35673
110	4435	35522
111	4459	35354
112	4483	35193
113	4504	35005
114	4526	34832
115	4551	34688
116	4696	35444
117	4757	35561
118	4782	35408
119	4805	35242
120	4829	35081
121	4850	34909
122	4875	34762
123	4899	34612
124	4921	34453
125	5019	34814
126	5062	34799
127	5103	34768
128	5126	34612
129	5154	34494
130	5225	34661
131	5340	35120
132	5373	35028
133	5394	34860
134	5416	34702
135	5439	34555
136	5461	34405
137	5486	34270
138	5508	34120
139	5535	34005
140	5635	34330
141	5679	34319
142	5722	34294
143	5752	34195
144	5804	34226
145	5950	34806
146	5995	34791
147	6019	34654
148	6041	34506
149	6067	34379
150	6088	34230
151	6114	34111
152	6135	33965
153	6160	33842
154	6188	33739
155	6212	33608
156	6232	33466
157	6263	33377
158	6286	33249
159	6310	33130
160	6330	32991
161	6354	32870
162	6475	33249
163	6552	33401
164	6582	33313
165	6608	33201
166	6629	33070
167	6652	32945
